id,series_type,user_id,series_id,status,score,progress,progress_volume,priority,repeat,private,notes,custom_lists,advanced_scores,hidden_default,started_on,finished_on,created_at,updated_at
448314274,0,7078392,136430,2,70,24,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:33:32,2024-12-23 10:33:32
448314306,0,7078392,130003,2,90,12,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:33:50,2024-12-23 10:33:50
448314325,0,7078392,113717,2,90,23,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:34:00,2024-12-23 10:34:00
448314354,0,7078392,21421,2,10,12,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:34:20,2024-12-23 10:34:20
448314370,0,7078392,103223,2,90,12,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:34:27,2024-12-23 10:34:27
448314398,0,7078392,131646,2,50,12,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:34:51,2024-12-23 10:34:51
448315259,0,7078392,143270,3,50,10,0,0,0,0,,[],[],0,0,0,2024-12-23 10:35:26,2024-12-23 10:35:26
448315570,0,7078392,131942,2,90,12,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:37:14,2024-12-23 10:37:14
448315579,0,7078392,249,2,70,167,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:37:20,2024-12-23 10:37:20
448315599,0,7078392,114888,2,50,11,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:37:36,2024-12-23 10:37:36
448315623,0,7078392,21858,2,0,25,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:38:00,2024-12-23 10:38:00
448315662,0,7078392,125426,2,70,5,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:38:26,2024-12-23 10:38:26
448315670,0,7078392,20946,2,70,24,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:38:33,2024-12-23 10:38:33
448315685,0,7078392,114124,2,90,11,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:38:43,2024-12-23 10:38:43
448315715,0,7078392,126403,2,90,11,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:39:02,2024-12-23 10:39:02
448315935,0,7078392,104647,2,50,12,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:40:02,2024-12-23 10:40:02
448315947,0,7078392,151806,2,30,13,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:40:15,2024-12-23 10:40:15
448315978,0,7078392,16870,2,70,1,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:40:40,2024-12-23 10:40:40
448316485,0,7078392,4081,3,50,5,0,0,0,0,,[],[],0,0,0,2024-12-23 10:41:30,2024-12-23 10:41:30
448316581,0,7078392,147103,2,70,12,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:42:52,2024-12-23 10:42:52
448316644,0,7078392,21686,2,10,12,0,0,0,0,,[],[],0,0,20241222,2024-12-23 10:43:42,2024-12-23 10:43:42
448319432,1,7078392,117195,2,10,166,16,0,0,0,,[],[],0,0,20241222,2024-12-23 11:16:47,2024-12-23 11:16:47
448465002,1,7078392,30013,4,70,300,0,0,0,0,,[],[],0,0,0,2024-12-24 08:09:21,2024-12-24 08:09:21
448465055,1,7078392,111411,4,70,350,0,0,0,0,,[],[],0,0,0,2024-12-24 08:10:05,2024-12-24 08:10:05
448465293,1,7078392,154361,4,50,40,0,0,0,0,,[],[],0,0,0,2024-12-24 08:12:53,2024-12-24 08:12:53
448465461,1,7078392,121632,4,30,50,0,0,0,0,,[],[],0,0,0,2024-12-24 08:15:02,2024-12-24 08:15:02
448465506,1,7078392,167170,4,50,40,0,0,0,0,,[],[],0,0,0,2024-12-24 08:15:34,2024-12-24 08:15:34
448465524,1,7078392,122976,3,30,79,0,0,0,0,,[],[],0,0,0,2024-12-24 08:15:49,2024-12-24 08:15:49
448465605,1,7078392,147281,4,50,30,0,0,0,0,,[],[],0,0,0,2024-12-24 08:16:38,2024-12-24 08:16:38
448465831,1,7078392,129039,2,50,55,0,0,0,0,,[],[],0,0,20241223,2024-12-24 08:17:14,2024-12-24 08:17:14
448465887,1,7078392,111087,2,50,90,0,0,0,0,,[],[],0,0,20241223,2024-12-24 08:17:46,2024-12-24 08:17:46
448465910,1,7078392,132705,2,70,53,0,0,0,0,,[],[],0,0,20241223,2024-12-24 08:17:56,2024-12-24 08:17:56
448466532,1,7078392,143489,3,30,30,0,0,0,0,,[],[],0,0,0,2024-12-24 08:24:56,2024-12-24 08:24:56
448466546,1,7078392,135574,2,30,120,0,0,0,0,,[],[],0,0,20241223,2024-12-24 08:25:05,2024-12-24 08:25:05
448466586,1,7078392,115263,4,50,70,0,0,0,0,,[],[],0,0,0,2024-12-24 08:25:36,2024-12-24 08:25:36
448466600,1,7078392,133021,3,30,50,0,0,0,0,,[],[],0,0,0,2024-12-24 08:25:49,2024-12-24 08:25:49
448466648,1,7078392,147567,0,70,82,0,0,0,0,,[],[],0,20241223,20241224,2024-12-24 08:26:30,2024-12-25 04:30:45
448466661,1,7078392,128591,2,50,101,0,0,0,0,,[],[],0,0,20241223,2024-12-24 08:26:37,2024-12-24 08:26:37
448467307,1,7078392,145664,3,30,70,0,0,0,0,,[],[],0,0,0,2024-12-24 08:29:20,2024-12-24 08:29:20
448467376,1,7078392,138704,4,70,150,0,0,0,0,,[],[],0,0,0,2024-12-24 08:30:06,2024-12-24 08:30:06
448467392,1,7078392,123605,2,50,60,0,0,0,0,,[],[],0,0,20241223,2024-12-24 08:30:22,2024-12-24 08:30:22
448469647,1,7078392,147581,3,30,84,0,0,0,0,,[],[],0,0,0,2024-12-24 08:41:52,2025-02-10 10:43:42
448469673,1,7078392,155251,2,50,100,0,0,0,0,,[],[],0,0,20241223,2024-12-24 08:42:14,2024-12-24 08:42:14
448469728,1,7078392,130603,2,50,11,0,0,0,0,,[],[],0,0,20241223,2024-12-24 08:42:56,2025-02-10 10:49:44
448470032,1,7078392,114592,2,50,52,0,0,0,0,,[],[],0,0,20241223,2024-12-24 08:46:31,2024-12-24 08:46:31
448470095,1,7078392,145757,2,50,62,0,0,0,0,,[],[],0,0,20241223,2024-12-24 08:46:57,2024-12-24 08:46:57
448470121,1,7078392,153273,3,10,60,0,0,0,0,,[],[],0,0,0,2024-12-24 08:47:16,2024-12-24 08:47:16
448470171,1,7078392,120435,3,30,40,0,0,0,0,,[],[],0,0,0,2024-12-24 08:47:47,2024-12-24 08:47:47
448470310,1,7078392,180121,3,30,20,0,0,0,0,,[],[],0,0,0,2024-12-24 08:49:22,2024-12-24 08:49:22
448470338,1,7078392,129218,2,50,85,0,0,0,0,,[],[],0,0,20241223,2024-12-24 08:49:41,2024-12-24 08:49:41
448470499,1,7078392,145534,4,70,40,0,0,0,0,Waiting for the series to be completed bcs I can't handle angst,[],[],0,0,0,2024-12-24 08:51:09,2024-12-24 08:51:09
448470782,1,7078392,117874,4,30,45,0,0,0,0,,[],[],0,0,0,2024-12-24 08:54:19,2024-12-24 08:54:19
448470940,1,7078392,142878,3,30,36,0,0,0,0,,[],[],0,0,0,2024-12-24 08:55:48,2024-12-24 08:55:48
448471085,1,7078392,170261,4,50,55,0,0,0,0,,[],[],0,0,0,2024-12-24 08:57:20,2024-12-24 08:57:20
448471394,1,7078392,173329,4,50,40,0,0,0,0,,[],[],0,0,0,2024-12-24 09:00:49,2024-12-24 09:00:49
448471412,1,7078392,135245,2,30,60,0,0,0,0,,[],[],0,0,20241223,2024-12-24 09:01:03,2024-12-24 09:01:03
448741135,1,7078392,121320,0,70,90,0,0,0,0,,[],[],0,20241225,0,2024-12-26 05:38:40,2024-12-31 12:22:40
448741343,0,7078392,21459,2,50,13,0,0,0,0,,[],[],0,0,20241225,2024-12-26 05:40:53,2024-12-26 05:40:53
448741353,0,7078392,5114,2,90,64,0,0,0,0,,[],[],0,0,20241225,2024-12-26 05:40:59,2024-12-26 05:40:59
448741507,0,7078392,97668,2,70,12,0,0,0,0,,[],[],0,0,20241225,2024-12-26 05:41:18,2024-12-26 05:41:18
448741543,0,7078392,142329,2,50,11,0,0,0,0,,[],[],0,0,20241225,2024-12-26 05:41:31,2024-12-26 05:41:31
448741557,0,7078392,9989,2,50,11,0,0,0,0,,[],[],0,0,20241225,2024-12-26 05:41:38,2024-12-26 05:41:38
448741566,0,7078392,20992,2,50,25,0,0,0,0,,[],[],0,0,20241225,2024-12-26 05:41:48,2024-12-26 05:41:48
448741581,0,7078392,131681,2,90,12,0,0,0,0,,[],[],0,0,20241225,2024-12-26 05:41:55,2024-12-26 05:41:55
448741588,0,7078392,97986,2,50,13,0,0,0,0,,[],[],0,0,20241225,2024-12-26 05:42:00,2024-12-26 05:42:00
448754375,0,7078392,21087,2,70,12,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:04:41,2024-12-26 07:04:41
448754477,0,7078392,113538,2,70,12,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:05:41,2024-12-26 07:05:41
448754561,0,7078392,139630,2,50,25,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:06:29,2024-12-26 07:06:29
448754643,0,7078392,98034,2,70,24,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:07:24,2024-12-26 07:07:24
448754717,0,7078392,20987,2,50,12,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:08:13,2024-12-26 07:08:13
